community	lat	long	alt	plant_richness	effort	scale	biome	country	insularity	type	plant_origin	community_origin	prop	Tmean_ERA5	PRCPTOT_ERA5	PET_ERA5	PET_TC	P_TC	Tmax_TC	Tmin_TC	MODIS_NDVI
83	34.216667	-116.95	2300	38	Limited	Local	Subtropical_desert	USA	Continent	Plantpollinatorinteractions		Natural	0.868421053	6.857468931	404.7890258	9012.874718	1391.1001	759.1	16.333334	1.2000008	0.543204959
84	35.066667	135.683333	790	89	Limited	Local	Temperate_seasonal_forest	Japan	Island	Plantpollinatorinteractions	Native	Natural	0.898876404	12.4770624	1692.91433	4520.977853	955	1606.4	18.04167	9.641667	0.772244626
85	36.016667	-78.983333	130	12	Limited	Regional	Temperate_seasonal_forest	USA	Continent	Plantpollinatorinteractions	Native	Natural	0.583333333	15.23562209	1122.373129	5046.284758	1103.2001	1142.2	21.675001	8.5666685	0.688892562
86	36.1	137.55	2800	39	Full	Local	Temperate_seasonal_forest	Japan	Island	Floristicsurvey		Natural	0.846153846	3.355675285	2105.794575	1094.726279	335.7	2179.3	3.6583347	-3.708333	0.369655372
87	36.133333	-82.033333	1300	21	Limited	Local	Temperate_seasonal_forest	USA	Continent	Plantpollinatorinteractions		Natural	0.904761905	8.76898469	1412.460211	4837.619327	853.3	1321.4	14.966667	3.808335	0.636293388
88	36.95	-92.933333	390	44	Full	Regional	Temperate_seasonal_forest	USA	Continent	Plantpollinatorinteractions	Native	Natural	0.931818182	13.60535042	1148.973965	6698.974743	1102.3	1129	19.741667	7.0333347	0.617976859
89	37.016667	-6.55	30	26	Limited	Local	Woodlandshrubland	Spain	Continent	Plantpollinatorinteractions	Native	Natural	0.615384615	17.85462391	0	0	1305.1	509.9	22.449999	13.616668	0.387257851
90	37.7	-119.55	1750	71	Full	Local	Woodlandshrubland	USA	Continent	Plantpollinatorinteractions	Native	Natural	0.985915493	3.152609351	1158.145438	5051.915878	1065.7001	824.2	13.1916685	0.2000014	0.333829752
91	37.866667	-122.25	140	42	Limited	Local	Woodlandshrubland	USA	Continent	Plantpollinatorinteractions	Alien	Artificial	0.976190476	12.99551372	502.5958464	2267.423746	1177	658.7	19.275	10.900002	0.483324793
92	37.883333	-122.3	140	72	Limited	Local	Woodlandshrubland	USA	Continent	Plantpollinatorinteractions	Alien	Artificial	0.888888889	13.20908459	521.0194505	2042.455344	1199.5001	710.8	19.533333	10.9416685	0.296333058
93	38.000001	23.633333	175	132	Full	Local	Woodlandshrubland	Greece	Continent	Floristicsurvey	Native	Natural	0.893939394	17.95107816	369.3305126	1425.828208	1364.5	442	21.75	13.058335	0.344539669
94	38.516667	-90.55	180	41	Limited	Local	Temperate_seasonal_forest	USA	Continent	Plantpollinatorinteractions	Alien	Natural	0.902439024	13.1837422	1059.799643	2661.005824	1054.4999	1011.8	19.26667	6.7166686	0.641568594
95	38.951389	-106.983333	2900	45	Limited	Local	Temperate_grassland	USA	Continent	Plantpollinatorinteractions	Native	Natural	0.977777778	-2.392900233	786.9012441	3854.834178	689.60004	510.9	9.008335	-7.933331	0.343783471
96	39.433333	-31.183333	913	10	Limited	Regional	Temperate_rain_forest	PortugalFloresIsland-Azores	Island	Plantpollinatorinteractions	Native	Natural	0.9	16.82562433	0	0	1279.2	1721.2	18.641668	14.3	0.756967769
97	39.534722	3.129261	1	93	Full	Local	Woodlandshrubland	SpainMallorcaIsland	Island	Plantpollinatorinteractions	Native	Natural	0.806451613	16.14334284	384.8764856	2089.723158	1112.1	612	20.91667	13.025004	-24.32990248
98	39.824722	-81.748889	330	54	Limited	Local	Temperate_seasonal_forest	USA	Continent	Plantpollinatorinteractions	Native	Artificial	0.944444444	11.04459681	1155.77672	4629.400136	874.6	1008.7	16.891668	4.8750014	0.59122314
99	40.133333	-88.15	210	8	Limited	Local	Temperate_seasonal_forest	USA	Continent	Plantpollinatorinteractions	Native	Natural	0.75	11.38625488	1048.410423	1622.418138	925.5	1022.2	16.591667	5.7583337	0.530000826
100	41.3	1.9	340	23	Limited	Local	Woodlandshrubland	Spain	Continent	Floristicsurvey	Native	Natural	0.869565217	14.81793685	631.7895594	1332.268709	1059.6	666.9	17.733334	10.550001	0.562682645
101	41.583333	2.566667	50	17	Limited	Local	Woodlandshrubland	Spain	Continent	Plantpollinatorinteractions		Natural	0.882352941	15.47521756	0	0	1071.2001	658.4	19.558336	12.55	-198.0577331
102	42.583333	21.183333	705	76	Full	Regional	Woodlandshrubland	Kosovo	Continent	Floristicsurvey	Native	Natural	0.907894737	9.84083882	642.3818337	2578.74411	890.00006	687.5	15.583335	5.800003	0.455072727
103	42.666667	141.6	70	26	Limited	Local	Temperate_seasonal_forest	Japan	Island	Plantpollinatorinteractions	Native	Natural	0.769230769	6.882056255	1193.778153	1282.523224	593.1	1159.4	11.666669	4.1333356	0.55439504
104	43.935278	3.512778	710	44	Limited	Local	Woodlandshrubland	France	Continent	Plantpollinatorinteractions	Native	Natural	0.863636364	11.08819954	1115.009256	3354.386489	1033.4	842.2	16.158335	6.2583337	0.51721405
105	44.583333	-66.754167	50	18	Limited	Local	Temperate_seasonal_forest	CanadaKentIsland	Island	Plantpollinatorinteractions	Native	Natural	0.888888889	6.359280297	0	0	562.3	1284.6	10.550002	2.7750022	-2008.12368
106	44.7925	-87.314722	180	27	Limited	Local	Temperate_seasonal_forest	USA	Continent	Plantpollinatorinteractions	Native	Natural	0.925925926	7.247616479	803.8010782	1471.51274	711.5999	783.7	11.841667	2.325001	0.50737686
107	45.000001	-109.416667	3048	16	Limited	Local	Tundra	USA	Continent	Plantpollinatorinteractions	Native	Natural	0.875	-1.745457015	869.8950533	2924.971807	646	526.2	8.050003	-6.0083327	0.147475207
108	46.216667	24.783333	480	119	Limited	Regional	Temperate_seasonal_forest	Romania	Continent	Plantpollinatorinteractions		NaturalArtificial	0.915966387	8.542434988	776.8987736	1243.426687	688.2001	602.7	13.791668	2.9833348	0.544068595
109	45.250001	-110.75	2050	274	Full	Local	Temperate_grassland	USA	Continent	Plantpollinatorinteractions	Native	Natural	0.941605839	2.808630962	814.7098907	3441.826095	891.4	500.1	12.950002	-1.374999	0.440780165
110	45.531944	12.735	2	29	Full	Regional	Woodlandshrubland	Italy	Continent	Plantpollinatorinteractions	Native	Natural	0.931034483	14.46349192	0	0	843.10004	857.3	17.741669	9.500001	-867.5102769
111	45.550001	-84.666667	230	18	Full	Local	Temperate_seasonal_forest	USA	Continent	Plantpollinatorinteractions	Even	Natural	0.944444444	6.761066855	848.4332845	1722.091353	710.00006	797.7	12.166669	1.1833353	0.532827273
112	45.650001	-110.95	1675	47	Limited	Local	Temperate_grassland	USA	Continent	Plantpollinatorinteractions	Native	Natural	0.914893617	3.720819092	737.9737976	2727.744837	893.8	474.5	12.991669	-1.0916656	0.393427273
113	45.7	-84.933333	190	21	Limited	Local	Temperate_seasonal_forest	USA	Continent	Plantpollinatorinteractions		Natural	0.952380952	6.573251835	896.0337328	4163.161019	687	798.7	11.600002	1.2333345	0.539554545
114	46.366667	-97.266667	330	39	Limited	Regional	Temperate_grassland	USA	Continent	Plantpollinatorinteractions	Native	Natural	0.974358974	6.330777864	659.582942	1459.993942	848.6	514.7	12.183334	-0.36666456	0.4185
115	46.433333	9.933333	1955	54	Full	Local	Temperate_seasonal_forest	Switzerland	Continent	Plantpollinatorinteractions	Native	Natural	0.925925926	-3.321392625	1254.59098	286.0493797	395.30005	847.8	2.433335	-3.2083318	0.163427273
116	46.550001	-66.116667	105	16	Limited	Local	Boreal_forest	Canada	Continent	Plantpollinatorinteractions	Native	Natural	0.6875	5.193020531	1113.639237	4986.780358	595.10004	1180	10.475002	-0.69999886	0.609799999
