community	lat	long	alt	plant_richness	effort	scale	biome	country	insularity	type	plant_origin	community_origin	prop
87	36.133333	-82.033333	1300	21	Limited	Local	Temperate_seasonal_forest	USA	Continent	Plantpollinatorinteractions	NA	Natural	0.904761905
88	36.95	-92.933333	390	44	Full	Regional	Temperate_seasonal_forest	USA	Continent	Plantpollinatorinteractions	Native	Natural	0.931818182
89	37.016667	-6.55	30	26	Limited	Local	Woodlandshrubland	Spain	Continent	Plantpollinatorinteractions	Native	Natural	0.615384615
90	37.7	-119.55	1750	71	Full	Local	Woodlandshrubland	USA	Continent	Plantpollinatorinteractions	Native	Natural	0.985915493
91	37.866667	-122.25	140	42	Limited	Local	Woodlandshrubland	USA	Continent	Plantpollinatorinteractions	Alien	Artificial	0.976190476
92	37.883333	-122.3	140	72	Limited	Local	Woodlandshrubland	USA	Continent	Plantpollinatorinteractions	Alien	Artificial	0.888888889
93	38.000001	23.633333	175	132	Full	Local	Woodlandshrubland	Greece	Continent	Floristicsurvey	Native	Natural	0.893939394
94	38.516667	-90.55	180	41	Limited	Local	Temperate_seasonal_forest	USA	Continent	Plantpollinatorinteractions	Alien	Natural	0.902439024
95	38.951389	-106.983333	2900	45	Limited	Local	Temperate_grassland	USA	Continent	Plantpollinatorinteractions	Native	Natural	0.977777778
96	39.433333	-31.183333	913	10	Limited	Regional	Temperate_rain_forest	PortugalFloresIsland-Azores	Island	Plantpollinatorinteractions	Native	Natural	0.9
97	39.534722	3.129261	1	93	Full	Local	Woodlandshrubland	SpainMallorcaIsland	Island	Plantpollinatorinteractions	Native	Natural	0.806451613
98	39.824722	-81.748889	330	54	Limited	Local	Temperate_seasonal_forest	USA	Continent	Plantpollinatorinteractions	Native	Artificial	0.944444444
99	40.133333	-88.15	210	8	Limited	Local	Temperate_seasonal_forest	USA	Continent	Plantpollinatorinteractions	Native	Natural	0.75
100	41.3	1.9	340	23	Limited	Local	Woodlandshrubland	Spain	Continent	Floristicsurvey	Native	Natural	0.869565217
101	41.583333	2.566667	50	17	Limited	Local	Woodlandshrubland	Spain	Continent	Plantpollinatorinteractions	NA	Natural	0.882352941
102	42.583333	21.183333	705	76	Full	Regional	Woodlandshrubland	Kosovo	Continent	Floristicsurvey	Native	Natural	0.907894737
103	42.666667	141.6	70	26	Limited	Local	Temperate_seasonal_forest	Japan	Island	Plantpollinatorinteractions	Native	Natural	0.769230769
104	43.935278	3.512778	710	44	Limited	Local	Woodlandshrubland	France	Continent	Plantpollinatorinteractions	Native	Natural	0.863636364
105	44.583333	-66.754167	50	18	Limited	Local	Temperate_seasonal_forest	CanadaKentIsland	Island	Plantpollinatorinteractions	Native	Natural	0.888888889
106	44.7925	-87.314722	180	27	Limited	Local	Temperate_seasonal_forest	USA	Continent	Plantpollinatorinteractions	Native	Natural	0.925925926
107	45.000001	-109.416667	3048	16	Limited	Local	Tundra	USA	Continent	Plantpollinatorinteractions	Native	Natural	0.875
108	46.216667	24.783333	480	119	Limited	Regional	Temperate_seasonal_forest	Romania	Continent	Plantpollinatorinteractions	NA	NaturalArtificial	0.915966387
109	45.250001	-110.75	2050	274	Full	Local	Temperate_grassland	USA	Continent	Plantpollinatorinteractions	Native	Natural	0.941605839
110	45.531944	12.735	2	29	Full	Regional	Woodlandshrubland	Italy	Continent	Plantpollinatorinteractions	Native	Natural	0.931034483
111	45.550001	-84.666667	230	18	Full	Local	Temperate_seasonal_forest	USA	Continent	Plantpollinatorinteractions	Even	Natural	0.944444444
112	45.650001	-110.95	1675	47	Limited	Local	Temperate_grassland	USA	Continent	Plantpollinatorinteractions	Native	Natural	0.914893617
113	45.7	-84.933333	190	21	Limited	Local	Temperate_seasonal_forest	USA	Continent	Plantpollinatorinteractions	NA	Natural	0.952380952
114	46.366667	-97.266667	330	39	Limited	Regional	Temperate_grassland	USA	Continent	Plantpollinatorinteractions	Native	Natural	0.974358974
115	46.433333	9.933333	1955	54	Full	Local	Temperate_seasonal_forest	Switzerland	Continent	Plantpollinatorinteractions	Native	Natural	0.925925926
116	46.550001	-66.116667	105	16	Limited	Local	Boreal_forest	Canada	Continent	Plantpollinatorinteractions	Native	Natural	0.6875
117	46.766667	17.233333	180	16	Limited	Regional	Temperate_seasonal_forest	Hungary	Continent	Plantpollinatorinteractions	Alien	Artificial	0.9375
118	48.116667	16.733333	160	61	Full	Local	Temperate_seasonal_forest	Austria	Continent	Plantpollinatorinteractions	Native	Natural	0.93442623
119	49.235278	1.404444	110	18	Limited	Local	Temperate_seasonal_forest	France	Continent	Plantpollinatorinteractions	Native	Natural	0.777777778
120	50	10	307	76	Limited	Regional	Temperate_seasonal_forest	Germany	Continent	Plantpollinatorinteractions	Native	Natural	0.934210526
121	50.2475	2.201389	85	16	Limited	Local	Temperate_seasonal_forest	France	Continent	Plantpollinatorinteractions	Native	Natural	0.8125
122	50.756722	-115.285333	2380	43	Full	Local	Temperate_grassland	Canada	Continent	Plantpollinatorinteractions	Native	Natural	0.953488372
123	51.166667	-114.383333	1180	33	Limited	Local	Temperate_grassland	Canada	Continent	Plantpollinatorinteractions	NA	Natural	0.939393939
124	51.433333	-2.666667	120	34	Limited	Local	Boreal_forest	UK	Island	Plantpollinatorinteractions	Native	Natural	0.911764706
125	51.9	9.8	210	101	Limited	Regional	Temperate_seasonal_forest	Germany	Continent	Plantpollinatorinteractions	Native	Natural	0.891089109
126	52.4	1.083333	40	29	Limited	Local	Temperate_seasonal_forest	UK	Island	Plantpollinatorinteractions	Native	Natural	0.827586207
127	52.716667	1.583333	0	21	Limited	Local	Temperate_seasonal_forest	UK	Island	Plantpollinatorinteractions	Native	Artificial	0.904761905
128	53.816667	-2.016667	40	75	Limited	Regional	Temperate_seasonal_forest	UK	Island	Plantpollinatorinteractions	Native	Artificial	0.96
129	56.0725	9.275556	85	18	Limited	Local	Temperate_seasonal_forest	Denmark	Continent	Plantpollinatorinteractions	Native	Natural	0.888888889
130	56.104167	9.107778	55	21	Limited	Local	Temperate_seasonal_forest	Denmark	Continent	Plantpollinatorinteractions	Native	Natural	0.857142857
131	56.141667	9.39	95	15	Limited	Local	Temperate_seasonal_forest	Denmark	Continent	Plantpollinatorinteractions	Native	Natural	0.866666667
132	59.734167	10.046667	300	22	Limited	Local	Boreal_forest	Norway	Continent	Plantpollinatorinteractions	Native	Natural	0.954545455
133	60	7	1500	16	Limited	Local	Boreal_forest	Norway	Continent	Plantpollinatorinteractions	Native	Natural	0.99
134	60.583333	7.55	1400	8	Limited	Local	Temperate_seasonal_forest	Norway	Continent	Plantpollinatorinteractions	Native	Natural	0.99
135	61.1575	7.172778	15	24	Limited	Local	Boreal_forest	Norway	Continent	Plantpollinatorinteractions	Native	Natural	0.875
136	68.35	18.5	985	23	Limited	Local	Tundra	Sweden	Continent	Plantpollinatorinteractions	Native	Natural	0.99
137	71	-52	180	17	Limited	Local	Tundra	GreenlandUummannaqIsland	Island	Plantpollinatorinteractions	Native	Natural	0.941176471
138	74.500001	-21	80	32	Full	Local	Tundra	Greenland	Island	Plantpollinatorinteractions	Native	Natural	0.96875
139	78.883333	-75.916667	25	12	Full	Local	Tundra	CanadaEllesmereIsland	Island	Plantpollinatorinteractions	Native	Natural	0.916666667
140	81.816667	-71.3	260	43	Limited	Local	Tundra	CanadaEllesmereIsland	Island	Plantpollinatorinteractions	Native	Natural	0.930232558
141	81.816667	-71.3	260	13	Limited	Local	Tundra	CanadaEllesmereIsland	Island	Plantpollinatorinteractions	Native	Natural	0.923076923
142	69.116333	-105.057972	8	17	Full	Local	Tundra	CanadaVictoriaIsland	Island	Plantpollinatorinteractions	Native	Natural	0.99
143	11.149044	-3.060131	290	23	Limited	Local	Tropical_seasonal_forestsavanna	BurkinaFaso	Continent	Plantpollinatorinteractions	Native	Natural	0.869565217
144	10.807333	-3.077667	250	28	Limited	Local	Tropical_seasonal_forestsavanna	BurkinaFaso	Continent	Plantpollinatorinteractions	Native	Natural	0.857142857
