Sampling	Lat	Long
Species	6.313166	100.492632
Species	52.217782	21.027324
Species	6.382792	80.601901
Species	-6.59781	106.799302
Species	-6.730783	-35.174661
Species	-7.190083	-34.809086
Species	6.090556	10.3025
Species	59.091021	16.219893
Species	60.533333	7.533333
Species	60.75	-139.483333
Species	61.913808	26.114394
Species	62.703826	29.094224
Species	62.100245	26.188555
Species	-6.316667	-50.083333
Species	5.683867	-2.884076
Species	-7.199444	-34.810278
Species	7.2	-58.6
Species	7.087358	11.053086
Species	7.3	35.866667
Species	-7.479167	-36.905
Species	7.5	99.416667
Species	-7.677722	-34.839389
Species	-7.8	-35.016667
Species	-7.95	-34.983333
Species	8.700899	-83.201574
Species	8.98848	-79.58183
Species	8.994029	-79.548462
Species	-8.003061	-34.946614
Species	-8.011994	-34.941209
Species	-7.994672	-34.946696
Species	-8.398278	-37.247583
Species	-8.524021	-36.9487
Species	-13.393889	-69.749722
Species	8.670833	-8.88
Species	8.712778	-83.216667
Species	8.782515	-82.45433
Species	-8.783333	-35.816667
Species	8.9	-70.85
Species	-9	-35.866667
Species	9.116667	-79.683333
Species	9.15	-79.833333
Species	9.159654	-79.852563
Species	9.216667	-83.333333
Species	9.566667	-83.75
Species	-9.616667	-74.933333
Species	9.680556	76.866667
Species	9.883333	-83.616667
Species	9.966667	78.166667
Species	34.001707	-108.969068
Species	5.492867	-53.303117
Species	22.06717	-79.074978
Species	18.356241	-77.646824
Species	40.839472	-3.957927
Species	-6.646255	146.526063
Species	51.995056	-116.342002
Species	25.284446	108.080023
Species	-35.144449	-71.794252
Species	8.70073	-83.201605
Species	6.14168	23.201825
Species	36.019392	-78.982821
Species	46.251596	-119.738515
Species	32.593908	-116.844941
Species	37.945873	-2.878518
Species	31.929301	-109.382113
Species	46.202092	6.144068
Species	49.420352	8.684338
Species	-20.761069	-42.870678
Species	51.772105	-1.317271
Species	-36.19457984	175.0753041
Species	-17.84559066	31.0900278
Species	47.35941942	8.56020064
Species	-30.85235113	-60.26569049
Species	43.50000776	4.499989269
Species	-33.7345396	150.2825754
Species	-7.997356653	-34.91239022
Species	-27.29284094	-52.10582646
Species	-37.80679826	141.420295
Species	32.08702443	34.76837562
Species	45.55867	-84.67748434
Species	40.794496	-77.85854664
Species	12.46366253	53.82287942
Species	55.96501206	-3.209102851
Species	-3.365016314	29.35712246
Species	-32.54743655	151.9780732
Species	47.35969414	8.453707449
Species	60.00075207	18.25733546
Species	49.41522823	8.669125757
Species	1.562652298	-77.53497297
Species	40.41595072	-3.683601212
Species	42.67708536	0.902420795
Species	42.86668241	141.2499571
Species	38.40000839	140.7000215
Species	44.80007611	142.0500858
Species	54.60189706	18.22958531
Species	19.61047783	-155.4951403
Species	-8.149896039	-35.00007522
Species	10.30003166	-84.81669889
Species	38.6667337	-0.533311845
Species	39.2084107	-6.961772778
Species	20.89381327	-156.5888827
Species	17.70006131	82.29988198
Species	19.37679719	98.83574001
Species	42.50003953	-76.44165597
Species	33.19260084	-101.2994204
Species	25.40113761	-80.4638333
Species	30.33637833	-89.76936651
Species	10.43336495	-83.98335476
Species	-1.708161714	-51.52910233
Species	58.08334463	-67.1666667
Species	-34.67918816	150.7040727
Species	19.867053	-70.800397
Species	-34.041162	18.372068
Species	-16.699031	-49.710119
Species	48.21096	16.362378
Species	-21.166596	-47.807949
Species	41.122413	-123.91723
Species	12.766226	100.932947
Species	26.636713	128.094643
Species	33.380879	-118.420624
Species	-22.711944	-47.634299
Species	38.958179	-106.988002
Species	52.928054	4.747698
Species	38.947482	-76.229371
Species	-26.167123	31.107984
Species	-16.879165	145.731349
Species	-15.940443	-47.940498
Species	-33.64318	-78.841601
Species	-3.008997	-60.066683
Species	-33.750851	20.999484
Species	42.210263	-71.085339
Species	-22.810371	-47.063679
Species	27.327157	-81.710766
Species	-15.865151	-48.03032
Species	35.993283	139.084399
Species	-34	19
Species	43.047022	-79.289097
Species	-33.677106	150.759359
Species	28.433333	129.583333
Species	-41.25	-71.283333
Species	-41.016667	-71.816667
Species	-28.566667	29.05
Species	-30.983333	30.183333
Species	-34.05	18.633333
Species	-29	17.083333
Species	-29.45	17.833333
Species	-29.666667	17.616667
Species	-31.383333	19.1
Species	-33.033333	20.533333
Species	-31.466667	19.783333
Species	-33.633333	19.383333
Species	-30.383333	17.916667
Species	-29	17.083333
Species	-31.866667	19.266667
Species	-29.1	30.033333
Species	-28.883333	29.966667
Species	-29.533333	30.166667
Species	-28.883333	29.683333
Species	-29.466667	30.233333
Species	-27.4	31.233333
Species	-34.341571	18.926078
Species	-34.041032	22.863886
Species	10.833333	-85.666667
Species	56.45	-4.25
Species	19.4	-96.8
Species	23.1	113.366667
Species	27.133333	112.016667
Species	19.583333	109.4
Species	-18.966667	-48.283333
Species	-19.15	-48.4
Species	18.316667	-65.783333
Species	10.364167	-84.790833
Species	18.351389	-77.6475
Species	19.583333	-70.75
Species	19.5	-70.333333
Species	18.083333	-71.5
Species	19.5	-70.333333
